Field	Content
Assay	CFTR-mediated ion transport and ASL height measurement; Functional rescue of CF airway epithelial cells by CFTR potentiator VX-770
Endpoint	CFTR-mediated current (µA/cm²); ASL height changes (µm) in response to VX-770 treatment; Correlation between CFTR function rescue and ASL volume restoration
Specific assay/protocol	Ussing chamber electrophysiology for CFTR ion transport combined with confocal microscopy for ASL height morphological assessment; Functional assessment demonstrating relationship between CFTR function rescue and ASL volume restoration
Inputs	Primary human CF airway epithelial cells (F508del-CFTR homozygous) cultured at air-liquid interface; Wild-type control cells; VX-770 (CFTR potentiator compound); Ussing chamber apparatus; Confocal microscope; Fluorescent dextran for ASL labeling; Forskolin and IBMX for cAMP elevation; Amiloride for ENaC inhibition; Culture inserts (permeable membrane supports)
Outputs	CFTR-mediated chloride current (µA/cm²) measured by short-circuit current (Isc) in Ussing chamber; ASL height (µm) measured by confocal microscopy before and after VX-770 treatment; Dose-response curves for VX-770 effect on CFTR currents; Time course of ASL height changes; Correlation plots between CFTR current and ASL height; EC50 values for VX-770 potentiation; Comparison of VX-770 effect on different CFTR mutations
Measured	Ussing Chamber: Short-circuit current (Isc) measured continuously under voltage-clamp conditions. Transepithelial resistance measured. CFTR current isolated by sequential additions: baseline, amiloride (block ENaC), forskolin + IBMX (activate CFTR), VX-770 (potentiate CFTR), CFTRinh-172 (block CFTR). Confocal Microscopy: XZ optical sections of fluorescent dextran-labeled ASL. ASL height measured from epithelial surface to upper ASL boundary. Multiple fields per culture. Baseline measurements before treatment and serial measurements after VX-770 exposure.
Derived	CFTR-mediated current: Calculated as forskolin-stimulated current inhibited by CFTRinh-172. VX-770 potentiation: Increase in CFTR current above forskolin baseline, expressed as fold-change or percent increase. ASL height changes: Difference between baseline and post-VX-770 ASL height, normalized to baseline. Correlation coefficient: Pearson or Spearman correlation between CFTR current magnitude and ASL height. EC50: Half-maximal effective concentration for VX-770 calculated from dose-response curve fitting. Functional rescue: Comparison of treated CF cells to untreated CF and wild-type controls.
Method Details	"Cell Culture: Primary human bronchial epithelial cells isolated from CF patients homozygous for F508del-CFTR mutation and from non-CF controls. Cells expanded in culture then seeded on permeable membrane supports (Costar Snapwell or Transwell inserts, 12 mm diameter). Cultured at air-liquid interface for 3-4 weeks to achieve differentiated, polarized epithelium with ciliated and secretory cells. Culture medium: Airway epithelial growth medium; basolateral medium changed every 2-3 days; apical surface washed weekly with PBS to remove accumulated mucus. Ussing Chamber Protocol: Cultures mounted in modified Ussing chambers. Bathed in Ringer solution (basolateral and apical). Temperature maintained at 37°C. Transepithelial voltage clamped to 0 mV. Short-circuit current (Isc) recorded continuously. Protocol: (1) Baseline Isc recorded; (2) Amiloride (100 µM) added to apical side to block ENaC; (3) Forskolin (10 µM) + IBMX (100 µM) added to basolateral side to elevate cAMP and activate CFTR; (4) VX-770 added (concentration range 0.1-10 µM) to basolateral or apical side; (5) CFTRinh-172 (10 µM) added to apical side to confirm CFTR-mediated current. VX-770 Treatment for ASL Measurements: Cultures treated with VX-770 (typically 1-10 µM) in basolateral medium for defined periods (1-24 hours). Vehicle controls (DMSO) included. ASL Height Measurement: ASL labeled by adding small volume of PBS containing fluorescent dextran (10 kDa, Texas Red or similar) to apical surface. Perfluorocarbon (FC-77) added to prevent evaporation during imaging. Confocal microscopy in XZ mode to acquire vertical optical sections. Multiple fields (5-10) imaged per culture at each timepoint. Baseline ASL height measured before VX-770 treatment. Serial measurements at defined intervals after VX-770 addition (e.g., 1, 2, 4, 8, 24 hours). Image analysis performed manually or with semi-automated software to determine ASL height from epithelial surface to ASL-air interface. Data Analysis: CFTR currents analyzed as peak response to each agent. ASL heights averaged across multiple fields per culture. Statistical comparisons: CF vs CF+VX-770 vs wild-type. Correlation analysis: CFTR current magnitude vs ASL height within and across genotypes. Dose-response analysis: Fit to sigmoidal or Hill equation to determine EC50."
Biological	"Cell Type: Primary human bronchial epithelial cells. Genotypes: F508del-CFTR homozygous (CF patients); Wild-type CFTR (non-CF controls); Additional mutations (G551D, R117H, others) tested in some experiments. Donor Information: n ≥ 3 donors per genotype; age and clinical characteristics documented. Culture System: Air-liquid interface on Snapwell or Transwell inserts (12 mm diameter, 0.4 µm pore). Differentiation: 3-4 weeks at ALI until fully differentiated with coordinated ciliary beating. Culture Medium: Proprietary or defined airway epithelial growth medium (e.g., BEGM or equivalent). Basolateral: Complete medium with growth factors. Apical: Air-exposed, native ASL only. Quality Control: Transepithelial electrical resistance (TEER) measured; typically >300 Ω·cm² for tight junctions. Ciliary beating observed microscopically. CFTR expression confirmed by immunofluorescence or Western blot."
Technical/structural	"Ussing Chamber System: Modified Ussing chamber with voltage clamp capability. Chamber volume: ~5 mL per hemichamber. Electrode configuration: Ag/AgCl current-passing electrodes; calomel or Ag/AgCl voltage-sensing electrodes. Voltage Clamp: Transepithelial voltage clamped to 0 mV. Short-circuit current (Isc) recorded continuously. Amplifier: Voltage-clamp amplifier (e.g., VCC MC6, Physiologic Instruments). Data acquisition: Digitized at 1-10 Hz. Temperature: Maintained at 37°C with water-jacketed chambers or heated chamber platform. Solution Composition: Ringer solution (mM): NaCl 120, KCl 5, CaCl2 1.2, MgCl2 1.2, NaHCO3 25, NaH2PO4 2.4, glucose 10; pH 7.4, bubbled with 95% O2/5% CO2. Confocal Microscopy: Inverted confocal microscope (e.g., Zeiss LSM or Leica SP series). Objectives: High NA water or oil immersion (typically 40× or 63×, NA 1.2-1.4). Imaging mode: XZ optical sectioning perpendicular to epithelial surface. Fluorophores: Texas Red-dextran (excitation ~595 nm, emission ~615 nm) or Alexa dyes. Z-step size: 0.5-1 µm for adequate sampling of ASL layers. Image format: 512×512 or 1024×1024 pixels. Evaporation prevention: Perfluorocarbon (FC-77) applied to apical surface before imaging."
