KE / Domain	AOP entity (KE/KER)	Input (manipulation / sample)	Method / Assay (SOP notes)	Output / Measurement	Interpretation / Context fields to capture	Exemplar peer-reviewed manuscripts	Protocol / SOP notes (attach)	S&T considerations (ontology / mapping)
Oxidative stress (increased)	MIE: Oxidative Stress (Event 1); initiating event in AOP network leading to airway dysfunction	Human airway epithelial cells; exposure to oxidants (H₂O₂, cigarette smoke extract, PM2.5, acrolein, ozone); in vivo animal models with environmental exposures	Reactive oxygen species (ROS) measurement using fluorescent probes (DCFDA, DHE, MitoSOX for mitochondrial ROS). Flow cytometry or fluorescence microscopy for quantification. Lipid peroxidation assays (malondialdehyde, 4-HNE, 8-isoprostane by ELISA or LC-MS). Protein oxidation (protein carbonyls, nitrotyrosine). DNA oxidation (8-OHdG). Antioxidant enzyme activity (SOD, catalase, GPx). GSH/GSSG ratio.	ROS levels (fluorescence intensity, fold change); Lipid peroxidation products (MDA, 4-HNE, 8-isoprostane); Protein oxidation markers; DNA damage (8-OHdG); Antioxidant capacity (GSH/GSSG, enzyme activities); Dose-response and time-course	Cell type; oxidant type and concentration; exposure duration; ROS probe specifics and loading conditions; detection method (flow cytometry, microscopy, plate reader); antioxidant treatments; normalization approach; positive/negative controls; replicate number	Riva et al. (2011). [Oxidative stress measurement in inhalation toxicology]. Inhalation Toxicology.	Include oxidant exposure protocol, ROS probe selection and validation, fluorescence detection parameters, lipid peroxidation assay procedures, antioxidant enzyme assays, quality control for probe specificity, time-course optimization	Biolink: MeasurementProcess; OBI: fluorescence assay, ELISA, enzyme activity assay; Mapping: MIE oxidative stress (Event 1); CHEBI: ROS, oxidants, antioxidants; Initiating molecular event; Dose-response for AOP threshold
PM2.5-induced oxidative stress and inflammation	MIE: Oxidative Stress (Event 1); KER: Oxidative stress → EGFR activation → inflammatory response	Human bronchial epithelial cells; PM2.5 exposure; assessment of oxidative stress and inflammatory pathways	PM2.5 exposure system for in vitro cultures. ROS measurement (DCFDA). Mitochondrial function assessment (mitophagy markers LC3, PINK1, Parkin by Western blot and immunofluorescence). Inflammatory cytokine secretion (IL-6, IL-8 by ELISA). EGFR and MAPK pathway activation (Western blot for pEGFR, pERK). Antioxidant interventions to validate oxidative mechanism.	ROS levels; Mitophagy marker expression; Inflammatory cytokine secretion (IL-6, IL-8); EGFR and MAPK activation; Antioxidant rescue effects; Dose-response to PM2.5	PM2.5 source and characterization; exposure concentration and duration; ROS detection method; Western blot antibodies; ELISA platforms; antioxidant type and concentration; cell viability; normalization method; replicate number	Zhai et al. (2022). PM2.5 induces inflammatory responses via oxidative stress-mediated mitophagy in human bronchial epithelial cells.	Document PM2.5 preparation and exposure, ROS measurement protocol, mitophagy assessment (Western blot, immunofluorescence), inflammatory mediator quantification, pathway analysis, antioxidant intervention studies	Biolink: MeasurementProcess; OBI: multiple assay types; Mapping: MIE oxidative stress, KER oxidative stress → EGFR → inflammation; ENVO: PM2.5 exposure; Environmental health; Mechanistic pathway linkage
Acrolein-induced oxidative stress and toxicity	MIE: Oxidative Stress (Event 1); mode of action assessment for aldehyde toxicant	3D human airway tissue model (e.g., MucilAir, EpiAirway); acrolein exposure at air-liquid interface	Dose-response assessment of acrolein toxicity. Oxidative stress measurement (ROS, GSH depletion). Cytotoxicity (LDH, MTT, membrane integrity). Inflammatory markers (IL-6, IL-8). Histopathology. Gene expression profiling for oxidative stress response genes (NRF2 pathway, antioxidant enzymes). Mode of action analysis linking oxidative stress to downstream effects.	ROS levels; GSH/GSSG ratio; Cytotoxicity metrics (LDH, viability); Inflammatory cytokine levels; Histological changes; NRF2 pathway activation; Oxidative stress gene expression; Dose-response curves	3D tissue model type; days at differentiation; acrolein concentration range; exposure duration; ROS/GSH assays; cytotoxicity assays; ELISA for cytokines; gene expression methods; histology protocols; replicate tissues; benchmark comparisons	Xiong et al. [Evaluating Mode of Action of Acrolein Toxicity in an In Vitro Human Airway Tissue Model].	Include acrolein exposure protocol for ALI, oxidative stress assays (ROS, GSH), cytotoxicity endpoints, inflammatory mediator measurement, gene expression analysis, histology, mode of action framework linking oxidative stress to apical outcomes	Biolink: MeasurementProcess; OBI: 3D tissue model assay; Mapping: MIE oxidative stress, mode of action pathway; CHEBI: acrolein; Toxicology; Adverse outcome pathway; Mechanistic toxicology
Oxidative stress biomarkers in respiratory disease	MIE: Oxidative Stress (Event 1); clinical biomarkers and relationship to lung function	Clinical samples from patients (exhaled breath condensate, serum, BALF); correlation with lung function	Clinical oxidative stress biomarker assessment. Exhaled breath condensate (EBC) collection and analysis for 8-isoprostane, MDA, H₂O₂. Serum oxidative markers. BALF analysis. Correlation with spirometry (FEV1, FVC). Longitudinal monitoring. Comparison across disease states (asthma, COPD, healthy controls).	EBC biomarker levels (8-isoprostane, MDA, H₂O₂); Serum oxidative markers; BALF markers; Correlation with lung function parameters; Differences across disease phenotypes; Longitudinal changes	Patient characteristics; disease diagnosis and severity; medication use; EBC collection protocol; sample processing and storage; assay platforms; lung function testing; statistical analysis for biomarker-function correlations; confounding factors	Havet et al. (2018). [Oxidative stress biomarkers in respiratory disease]. Eur Respir J.	Include EBC collection SOP, sample handling, biomarker assay protocols (ELISA, LC-MS), spirometry procedures, statistical methods for correlation analysis, quality control for EBC and assays	Biolink: ClinicalMeasurement; OBI: biomarker assay; Mapping: MIE oxidative stress in clinical context; Clinical translation; Non-invasive biomarker; Correlation with AO (lung function)
Oxidative stress signaling pathways	MIE: Oxidative Stress (Event 1); downstream signaling cascades (NRF2, NF-κB, MAPK)	Human airway epithelial cells; oxidant exposures; pathway-specific inhibitors and activators	Oxidative stress-induced signaling pathway analysis. NRF2 activation (nuclear translocation, target gene expression). NF-κB activation (IκB degradation, p65 nuclear translocation, reporter assays). MAPK activation (Western blot for pERK, pJNK, pp38). Antioxidant response element (ARE) reporter assays. ChIP for NRF2 binding. Gene expression profiling of pathway targets.	NRF2 activation (nuclear localization, ARE activity, target gene expression); NF-κB activation; MAPK phosphorylation; Pathway-specific gene expression; Dose-response and kinetics; Inhibitor validation	Cell type; oxidant stimulus; pathway inhibitors/activators; Western blot antibodies; immunofluorescence for nuclear translocation; reporter constructs; ChIP antibodies and primers; qRT-PCR for target genes; time-course; replicate number	Piao et al. (2021). [Oxidative stress signaling in airways]. Int J Mol Sci.	Document oxidant exposure, pathway analysis methods (Western blot, immunofluorescence, reporter assays, ChIP), gene expression profiling, inhibitor studies, time-course design, pathway crosstalk analysis	Biolink: MeasurementProcess; OBI: Western blot, reporter assay, ChIP-qPCR; Mapping: MIE oxidative stress, downstream signaling pathways (NRF2, NF-κB, MAPK); Mechanistic understanding; Pathway integration
Oxidative stress in 3D airway models	MIE: Oxidative Stress (Event 1); assessment in physiologically relevant airway tissue models	3D organotypic airway cultures (ALI); environmental or chemical oxidant exposures; comparison to 2D cultures	Oxidative stress measurement in 3D tissue models. ROS detection in differentiated airway epithelium. Antioxidant capacity assessment. Tissue viability and function during oxidant challenge. Comparison of oxidative stress sensitivity in 2D vs 3D. Multi-endpoint assessment (oxidative stress, inflammation, barrier function, ciliary function).	ROS levels in 3D tissues; GSH/GSSG; Tissue viability; Inflammatory responses; Barrier integrity (TEER); Ciliary function; Comparison of 2D vs 3D oxidative stress responses	3D culture model type; differentiation status; oxidant exposure protocol; ROS detection in 3D (confocal imaging, tissue extraction); antioxidant measurements; multi-endpoint integration; model validation; replicate tissues	Faber et al. (2020). [Oxidative stress in 3D airway tissue models].	Include 3D culture protocol, oxidant exposure for ALI, ROS measurement in 3D context, tissue-level antioxidant assays, multi-endpoint assessment, 2D-3D comparison, model validation	Biolink: MeasurementProcess; OBI: 3D tissue model assay; Mapping: MIE oxidative stress; In vitro model; Physiological relevance; Multi-endpoint integration; Model comparison
Advanced oxidative stress profiling	MIE: Oxidative Stress (Event 1); multi-omics and systems biology approaches	Airway epithelial cells or tissues; oxidant exposures; integrated multi-omics analysis	Comprehensive oxidative stress characterization. Transcriptomics (RNA-seq for oxidative stress gene networks). Proteomics (mass spectrometry for oxidized proteins, redox proteomics). Metabolomics (redox metabolites, TCA cycle, amino acid oxidation). Lipidomics (oxidized lipids). Integration of multi-omics data. Pathway and network analysis. Predictive modeling.	Transcriptomic signatures of oxidative stress; Proteomic changes (total and oxidized proteins); Metabolomic profiles (GSH metabolism, energy metabolism); Lipid peroxidation products; Integrated pathway analysis; Predictive biomarker signatures	Sample type; oxidant exposure; omics platforms (RNA-seq, MS proteomics, MS metabolomics/lipidomics); bioinformatics pipelines; data integration methods; pathway databases; normalization and batch correction; validation cohorts or experiments; statistical modeling	Vitucci et al. (2024). [Multi-omics profiling of oxidative stress in airways].	Document sample preparation for each omics platform, data generation protocols, bioinformatics workflows, quality control, data integration strategy, pathway analysis methods, validation approaches, systems biology modeling	Biolink: IntegratedDataset; OBI: multi-omics assays; Mapping: MIE oxidative stress, systems-level response; Transcriptomics, proteomics, metabolomics, lipidomics; Network biology; Predictive modeling; Precision medicine
Oxidative stress in chronic airway disease	MIE: Oxidative Stress (Event 1); role in disease progression and exacerbations	Patient cohorts (asthma, COPD); longitudinal studies; oxidative stress biomarkers and clinical outcomes	Clinical assessment of oxidative stress in chronic airway disease. Biomarker measurement in multiple matrices (EBC, blood, sputum, urine). Correlation with disease severity, exacerbation frequency, lung function decline. Environmental exposure assessment (air pollution, smoking). Longitudinal monitoring. Interventions (antioxidant therapy) and biomarker responses.	Oxidative stress biomarker levels across disease states; Correlation with FEV1 and disease severity; Association with exacerbation risk; Environmental exposure-biomarker relationships; Antioxidant intervention effects; Longitudinal trajectories	Study population; disease definitions; exacerbation criteria; biomarker collection protocols; exposure assessment methods; lung function testing; longitudinal follow-up; intervention details; statistical models; confounding adjustment	Mann et al. [Oxidative stress in CHAPS study - chronic airway disease].	Document study design, participant characterization, biomarker collection and assays, exposure assessment, clinical endpoint definitions, statistical analysis plan, quality assurance	Biolink: ClinicalStudy; OBI: longitudinal cohort study; Mapping: MIE oxidative stress, AO lung function and exacerbations; Clinical translation; Prognostic biomarker; Therapeutic target; Environmental health
Oxidative stress and inflammatory phenotypes	MIE: Oxidative Stress (Event 1); relationship to airway inflammatory endotypes	CHAPS cohort; oxidative stress and inflammation profiling; phenotype/endotype classification	Integrated oxidative stress and inflammatory profiling. Oxidative biomarkers (EBC, serum). Inflammatory markers (blood and airway). Multivariate analysis to identify phenotypes/endotypes. Cluster analysis. Association with clinical features and outcomes. Molecular signatures of oxidative-inflammatory phenotypes.	Oxidative stress biomarker profiles; Inflammatory marker profiles; Phenotype/endotype classifications; Cluster characteristics; Molecular signatures; Clinical correlates of oxidative-inflammatory phenotypes	Cohort description; biomarker panels; clustering algorithms; validation cohorts; clinical phenotyping criteria; omics integration; statistical methods; biomarker-phenotype associations	Zhang et al. [CHAPS - oxidative stress and inflammatory phenotypes in airways].	Include biomarker measurement protocols, clustering and classification methods, phenotype validation, clinical correlation analysis, molecular profiling, statistical approaches for phenotype discovery	Biolink: ClinicalStudy; OBI: phenotyping study; Mapping: MIE oxidative stress, inflammatory response, disease heterogeneity; Precision medicine; Endotyping; Biomarker signatures; Therapeutic stratification
Oxidative stress - multi-scale integration	MIE: Oxidative Stress (Event 1); integration across molecular, cellular, tissue, and organism levels	Multi-scale studies from in vitro to clinical; oxidative stress as integrating concept across AOP network	Multi-scale oxidative stress assessment. In vitro ROS and antioxidant measurements. Cellular responses (signaling, inflammation, toxicity). Tissue-level effects (histology, function). Clinical biomarkers. In vitro-in vivo extrapolation. Computational modeling of oxidative stress propagation through AOP network. Integration with other molecular initiating events (EGFR activation).	Oxidative stress metrics at molecular, cellular, tissue, organism levels; In vitro-in vivo correlations; AOP network connectivity; Computational model predictions; Integrated risk assessment	Multi-scale experimental design; in vitro and clinical protocols; IVIVE methods; computational modeling approaches; network analysis; uncertainty quantification; validation datasets	Misiukiewicz-Stepien et al. (2025). [Multi-scale oxidative stress integration in airway AOP].	Document multi-scale study design, assay protocols at each level, IVIVE methodology, computational modeling framework, network integration, validation strategy	Biolink: IntegratedSystem; OBI: multi-scale analysis; Mapping: MIE oxidative stress across all levels of AOP; Systems toxicology; IVIVE; Computational modeling; Quantitative AOP; Risk assessment
